Category: All categories

Day,crypto: (Worldwide)
2019-09-01,34
2019-09-02,44
2019-09-03,48
2019-09-04,44
2019-09-05,43
2019-09-06,43
2019-09-07,39
2019-09-08,40
2019-09-09,41
2019-09-10,38
2019-09-11,44
2019-09-12,43
2019-09-13,42
2019-09-14,41
2019-09-15,40
2019-09-16,42
2019-09-17,49
2019-09-18,53
2019-09-19,52
2019-09-20,55
2019-09-21,41
2019-09-22,41
2019-09-23,47
2019-09-24,60
2019-09-25,53
2019-09-26,53
2019-09-27,47
2019-09-28,52
2019-09-29,43
2019-09-30,52
2019-10-01,58
2019-10-02,62
2019-10-03,51
2019-10-04,50
2019-10-05,41
2019-10-06,42
2019-10-07,49
2019-10-08,48
2019-10-09,48
2019-10-10,46
2019-10-11,42
2019-10-12,42
2019-10-13,41
2019-10-14,44
2019-10-15,45
2019-10-16,42
2019-10-17,44
2019-10-18,42
2019-10-19,34
2019-10-20,36
2019-10-21,43
2019-10-22,43
2019-10-23,50
2019-10-24,42
2019-10-25,45
2019-10-26,48
2019-10-27,39
2019-10-28,47
2019-10-29,47
2019-10-30,45
2019-10-31,46
2019-11-01,43
2019-11-02,37
2019-11-03,39
2019-11-04,48
2019-11-05,45
2019-11-06,46
2019-11-07,49
2019-11-08,43
2019-11-09,36
2019-11-10,40
2019-11-11,42
2019-11-12,45
2019-11-13,46
2019-11-14,42
2019-11-15,44
2019-11-16,40
2019-11-17,40
2019-11-18,39
2019-11-19,46
2019-11-20,43
2019-11-21,47
2019-11-22,49
2019-11-23,41
2019-11-24,39
2019-11-25,49
2019-11-26,47
2019-11-27,41
2019-11-28,42
2019-11-29,39
2019-11-30,37
2019-12-01,38
2019-12-02,39
2019-12-03,41
2019-12-04,43
2019-12-05,39
2019-12-06,39
2019-12-07,37
2019-12-08,35
2019-12-09,38
2019-12-10,42
2019-12-11,43
2019-12-12,43
2019-12-13,37
2019-12-14,37
2019-12-15,39
2019-12-16,41
2019-12-17,49
2019-12-18,43
2019-12-19,43
2019-12-20,42
2019-12-21,36
2019-12-22,35
2019-12-23,38
2019-12-24,40
2019-12-25,38
2019-12-26,38
2019-12-27,38
2019-12-28,42
2019-12-29,40
2019-12-30,39
2019-12-31,43
2020-01-01,34
2020-01-02,42
2020-01-03,42
2020-01-04,38
2020-01-05,39
2020-01-06,43
2020-01-07,45
2020-01-08,45
2020-01-09,41
2020-01-10,40
2020-01-11,41
2020-01-12,39
2020-01-13,40
2020-01-14,54
2020-01-15,62
2020-01-16,51
2020-01-17,52
2020-01-18,47
2020-01-19,43
2020-01-20,46
2020-01-21,50
2020-01-22,46
2020-01-23,45
2020-01-24,43
2020-01-25,38
2020-01-26,35
2020-01-27,42
2020-01-28,49
2020-01-29,48
2020-01-30,45
2020-01-31,43
2020-02-01,42
2020-02-02,44
2020-02-03,45
2020-02-04,48
2020-02-05,56
2020-02-06,56
2020-02-07,50
2020-02-08,48
2020-02-09,54
2020-02-10,50
2020-02-11,76
2020-02-12,100
2020-02-13,88
2020-02-14,69
2020-02-15,70
2020-02-16,68
2020-02-17,66
2020-02-18,60
2020-02-19,58
2020-02-20,58
2020-02-21,47
2020-02-22,45
2020-02-23,49
2020-02-24,53
2020-02-25,51
2020-02-26,58
2020-02-27,57
2020-02-28,47
2020-02-29,45
2020-03-01,48
2020-03-02,49
2020-03-03,48
2020-03-04,59
2020-03-05,56
2020-03-06,48
2020-03-07,48
2020-03-08,51
2020-03-09,56
2020-03-10,46
2020-03-11,43
2020-03-12,69
2020-03-13,70
2020-03-14,52
2020-03-15,50
2020-03-16,50
2020-03-17,45
2020-03-18,46
2020-03-19,56
2020-03-20,50
2020-03-21,43
2020-03-22,44
2020-03-23,44
2020-03-24,48
2020-03-25,42
2020-03-26,45
2020-03-27,43
2020-03-28,46
2020-03-29,44
2020-03-30,43
2020-03-31,47
2020-04-01,46
2020-04-02,45
2020-04-03,44
2020-04-04,47
2020-04-05,42
2020-04-06,57
2020-04-07,54
2020-04-08,63
2020-04-09,58
2020-04-10,61
2020-04-11,56
2020-04-12,50
2020-04-13,56
2020-04-14,49
2020-04-15,45
2020-04-16,52
2020-04-17,50
2020-04-18,48
2020-04-19,52
2020-04-20,51
2020-04-21,44
2020-04-22,54
2020-04-23,55
2020-04-24,49
2020-04-25,60
2020-04-26,54
2020-04-27,56
2020-04-28,56
2020-04-29,62
2020-04-30,66
